# /home/biodept/sw167/SFABC/ABC_0522/TemplateFiles/CPo3Ti40S400_9.pau	Setting [workingDir=/home/biodept/sw167/SFABC/ABC_0522/TemplateFiles/, obsFileName=/home/biodept/sw167/SFABC/ABC_0522/TemplateFiles/CPo3Ti40S400_9.pau, resultOutFile=/home/biodept/sw167/SFABC/ABC_0522/TemplateFiles/CPo3Ti40S400_9/CPo3Ti40S400_9.pau_summary.log, regressionCoefFile=/home/biodept/sw167/SFABC/ABC_0522/TemplateFiles/CPo3Ti40S400_9.pau_regressionCoef.coef, doRegression=true, obsStat=[-3.923111739116133, -3.923111739116133], error=0.6678366502057872, seqLength=750, noSeqPerTime=50, noTime=3, noTotalSeq=150, timeGap=400, thinning=1000, noIteMCMC=1000000, noItePreprocess=100000]
Ite	mu	popsize
0	3.482E-6	10140.0
1000	3.7678635915782314E-6	11078.561353170107
2000	5.922257861552948E-6	20747.4686310385
3000	3.5900440853917448E-6	10556.472322645866
4000	8.983750634563369E-6	21034.584151990082
5000	8.983750634563369E-6	21034.584151990082
6000	8.983750634563369E-6	21034.584151990082
7000	8.983750634563369E-6	21034.584151990082
8000	8.983750634563369E-6	21034.584151990082
9000	8.983750634563369E-6	21034.584151990082
10000	8.983750634563369E-6	21034.584151990082
11000	8.983750634563369E-6	21034.584151990082
12000	8.983750634563369E-6	21034.584151990082
13000	8.983750634563369E-6	21034.584151990082
14000	8.983750634563369E-6	21034.584151990082
15000	8.983750634563369E-6	21034.584151990082
16000	8.983750634563369E-6	21034.584151990082
17000	8.983750634563369E-6	21036.44844584742
18000	8.983750634563369E-6	21036.44844584742
19000	8.983750634563369E-6	21036.44844584742
20000	8.983750634563369E-6	21036.44844584742
21000	8.983750634563369E-6	21036.44844584742
22000	8.983750634563369E-6	21119.39660827762
23000	8.983750634563369E-6	21119.39660827762
24000	8.983750634563369E-6	21119.39660827762
25000	8.983750634563369E-6	21119.39660827762
26000	8.983750634563369E-6	21119.39660827762
27000	8.983750634563369E-6	21119.39660827762
28000	8.983750634563369E-6	21119.39660827762
29000	8.983750634563369E-6	21119.39660827762
30000	8.983750634563369E-6	21119.39660827762
31000	8.983750634563369E-6	21119.39660827762
32000	8.983750634563369E-6	21119.39660827762
33000	8.983750634563369E-6	21119.39660827762
34000	8.983750634563369E-6	21119.39660827762
35000	8.983750634563369E-6	21119.39660827762
36000	9.044276028970941E-6	21119.39660827762
37000	9.044276028970941E-6	21119.39660827762
38000	9.044276028970941E-6	21119.39660827762
39000	9.044276028970941E-6	21119.39660827762
40000	9.044276028970941E-6	21422.167417630164
41000	9.044276028970941E-6	21422.167417630164
42000	9.044276028970941E-6	21422.167417630164
43000	9.044276028970941E-6	21422.167417630164
44000	9.044276028970941E-6	21422.167417630164
45000	9.044276028970941E-6	21422.167417630164
46000	9.044276028970941E-6	21422.167417630164
47000	9.044276028970941E-6	21422.167417630164
48000	9.044276028970941E-6	21422.167417630164
49000	9.044276028970941E-6	21422.167417630164
50000	9.044276028970941E-6	21422.167417630164
51000	9.044276028970941E-6	21422.167417630164
52000	9.044276028970941E-6	21422.167417630164
53000	9.044276028970941E-6	21422.167417630164
54000	9.044276028970941E-6	21422.167417630164
55000	9.021077899212509E-6	21422.167417630164
56000	9.021077899212509E-6	21422.167417630164
57000	9.021077899212509E-6	21422.167417630164
58000	9.021077899212509E-6	21422.167417630164
59000	9.021077899212509E-6	21422.167417630164
60000	9.021077899212509E-6	21422.167417630164
61000	9.021077899212509E-6	21422.167417630164
62000	9.021077899212509E-6	21422.167417630164
63000	8.98465631949795E-6	21422.167417630164
64000	8.98465631949795E-6	21422.167417630164
65000	8.98465631949795E-6	21422.167417630164
66000	8.98465631949795E-6	21422.167417630164
67000	8.98465631949795E-6	21422.167417630164
68000	8.98465631949795E-6	21422.167417630164
69000	8.98465631949795E-6	21422.167417630164
70000	8.98465631949795E-6	21422.167417630164
71000	8.98465631949795E-6	21422.167417630164
72000	8.98465631949795E-6	21422.167417630164
73000	8.98465631949795E-6	21422.167417630164
74000	8.98465631949795E-6	21422.167417630164
75000	8.98465631949795E-6	21422.167417630164
76000	8.98465631949795E-6	21422.167417630164
77000	8.98465631949795E-6	21422.167417630164
78000	8.98465631949795E-6	21422.167417630164
79000	8.98465631949795E-6	21422.167417630164
80000	8.98465631949795E-6	21422.167417630164
81000	8.98465631949795E-6	21422.167417630164
82000	8.98465631949795E-6	21422.167417630164
83000	8.98465631949795E-6	21422.167417630164
84000	8.98465631949795E-6	21422.167417630164
85000	8.921639356277061E-6	21422.167417630164
86000	8.921639356277061E-6	21422.167417630164
