# /home/biodept/sw167/SFABC/ABC_0612a/TemplateFiles/CPo3Ti40S400_75.pau	Setting [workingDir=/home/biodept/sw167/SFABC/ABC_0612a/TemplateFiles/, obsFileName=/home/biodept/sw167/SFABC/ABC_0612a/TemplateFiles/CPo3Ti40S400_75.pau, resultOutFile=/home/biodept/sw167/SFABC/ABC_0612a/TemplateFiles/CPo3Ti40S400_75/CPo3Ti40S400_75.pau_summary.log, regressionCoefFile=/home/biodept/sw167/SFABC/ABC_0612a/TemplateFiles/CPo3Ti40S400_75.pau_regressionCoef.coef, doRegression=true, obsStat=[-3.8864650549564748, -3.8864650549564748], error=0.6782924633690215, seqLength=750, noSeqPerTime=50, noTime=3, noTotalSeq=150, timeGap=400, thinning=1000, noIteMCMC=1000000, noItePreprocess=100000]
Ite	mu	popsize
0	1.03E-5	5245.0
1000	1.3385934622085479E-5	4390.954535266341
2000	1.777442862897103E-5	9730.78222981199
3000	1.8642428784094604E-5	9730.78222981199
4000	1.676538390964983E-5	11718.852856371937
5000	1.676538390964983E-5	11185.390722497457
6000	1.676538390964983E-5	11185.390722497457
7000	1.676538390964983E-5	13256.123279588284
8000	1.676538390964983E-5	13256.123279588284
9000	1.676538390964983E-5	13256.123279588284
10000	1.676538390964983E-5	13256.123279588284
11000	1.63145720251139E-5	13256.123279588284
12000	1.713892207846372E-5	13256.123279588284
13000	1.713892207846372E-5	13112.800659905464
14000	1.713892207846372E-5	13112.800659905464
15000	1.713892207846372E-5	13112.800659905464
16000	1.7611757373413274E-5	13112.800659905464
17000	1.842718422147617E-5	12200.80545877066
18000	2.0958652072456308E-5	11668.878074346965
19000	2.1621320146366755E-5	12565.754828454426
20000	2.1621320146366755E-5	12565.754828454426
21000	2.1621320146366755E-5	12688.191448016203
22000	2.1621320146366755E-5	12688.191448016203
23000	2.3872755735028686E-5	12688.191448016203
24000	2.3872755735028686E-5	12688.191448016203
25000	2.615119563700873E-5	12688.191448016203
26000	2.615119563700873E-5	12688.191448016203
27000	2.615119563700873E-5	12688.191448016203
28000	2.615119563700873E-5	12688.191448016203
29000	2.615119563700873E-5	12688.191448016203
30000	2.615119563700873E-5	12688.191448016203
31000	2.7243301752688856E-5	12688.191448016203
32000	2.7243301752688856E-5	12688.191448016203
33000	2.7243301752688856E-5	12688.191448016203
34000	2.7243301752688856E-5	13660.599260237384
35000	2.9678953574763923E-5	13660.599260237384
36000	2.9678953574763923E-5	15141.951416023865
37000	2.9678953574763923E-5	15141.951416023865
38000	2.9678953574763923E-5	15141.951416023865
39000	2.9678953574763923E-5	15141.951416023865
40000	2.9678953574763923E-5	15141.951416023865
41000	2.9678953574763923E-5	15141.951416023865
42000	2.9678953574763923E-5	15141.951416023865
43000	2.9678953574763923E-5	15141.951416023865
44000	2.9678953574763923E-5	15141.951416023865
45000	2.9678953574763923E-5	15141.951416023865
46000	2.9678953574763923E-5	15141.951416023865
47000	2.9678953574763923E-5	15464.253536575321
48000	2.9678953574763923E-5	15559.041774034751
49000	3.0260986008953642E-5	15559.041774034751
50000	3.0260986008953642E-5	16483.73946124216
51000	3.0507211396220103E-5	15182.1412001069
52000	2.696745126511392E-5	13596.757925611459
53000	4.3926144647009654E-5	9631.290539116082
54000	4.407011292634361E-5	9200.720126897451
55000	4.2370547834015195E-5	9693.070362195904
56000	3.8564480059222137E-5	11439.61877835564
57000	4.43981811462732E-5	10827.366237740884
58000	4.6841086730129115E-5	10827.366237740884
59000	4.6841086730129115E-5	10827.366237740884
60000	4.107496392603232E-5	11655.135995511808
61000	3.722808548835845E-5	13677.101015476415
62000	3.936126726840161E-5	14688.229714729252
63000	3.936126726840161E-5	14688.229714729252
64000	3.936126726840161E-5	14688.229714729252
65000	4.166937800226005E-5	14688.229714729252
66000	4.166937800226005E-5	15152.63106469833
67000	3.767361779449145E-5	15152.63106469833
68000	3.739478666381602E-5	14988.791637692355
69000	4.4471862480098884E-5	14988.791637692355
70000	4.03698512342269E-5	14988.791637692355
71000	4.415036895396891E-5	14077.893761444355
72000	4.504669414878432E-5	14077.893761444355
73000	4.59784913424053E-5	14884.875818283675
74000	4.59784913424053E-5	14884.875818283675
75000	4.2938786975278734E-5	13672.530064226567
76000	4.556852453242735E-5	13371.941967881221
77000	4.536215485168407E-5	16237.813810443895
78000	4.8121784667405726E-5	16237.813810443895
79000	4.715717517293517E-5	16237.813810443895
80000	4.715717517293517E-5	18439.7244864646
81000	4.9522876565538536E-5	18439.7244864646
82000	4.9522876565538536E-5	18439.7244864646
83000	4.9522876565538536E-5	19405.18366710259
84000	4.9522876565538536E-5	19405.18366710259
85000	4.9522876565538536E-5	19405.18366710259
86000	4.893222532944832E-5	17948.513087836553
87000	4.893222532944832E-5	17584.929444028872
88000	5.110641422216576E-5	17361.58354403303
89000	4.450711808843674E-5	14206.675483841005
90000	3.896435585201061E-5	21381.36464311201
91000	3.8010913294706196E-5	23477.327322641173
92000	3.616873064366896E-5	23004.49971118991
93000	3.773532088413734E-5	24567.404497937172
94000	4.0379938362876064E-5	24567.404497937172
95000	3.607881486785272E-5	23741.59967595277
96000	4.327941083113635E-5	22713.639573422784
97000	4.225687970419603E-5	22267.009620781126
98000	4.4880333606495595E-5	23001.11653990525
99000	3.932380344483191E-5	16906.025048537846
100000	4.894833889611411E-5	22356.28462023308
101000	4.9785212912996565E-5	22356.28462023308
102000	4.9767229486052767E-5	24977.820726119782
